"type";"unit_name";"on_building";"total_supply_lag"
"Unit";"Marauder";"Barracks";157
"Building";"CommandCenter";NA;159
"Unit";"Marauder";"Barracks";160
"Unit";"Marauder";"Barracks";162
"Unit";"Marine";"Barracks";164
"Unit";"Marine";"Barracks";167
"Unit";"Marine";"Barracks";168
"Building";"Refinery";NA;169
"Unit";"Marine";"Barracks";169
"Unit";"Marine";"Barracks";170
"Unit";"Medivac";"Starport";172
"Unit";"Medivac";"Starport";174
"Unit";"Marauder";"Barracks";176
"Unit";"Marauder";"Barracks";178
"Unit";"Marine";"Barracks";180
"Unit";"Marine";"Barracks";181
"Unit";"Marine";"Barracks";182
"Unit";"Marine";"Barracks";183
"Unit";"Marauder";"Barracks";184
"Unit";"Marine";"Barracks";186
"Unit";"Marine";"Barracks";187
"Unit";"Marine";"Barracks";188
"Unit";"Marine";"Barracks";189
"Unit";"Marine";"Barracks";190
"Unit";"Marine";"Barracks";191
"Unit";"Marauder";"Barracks";192
"Unit";"Marine";"Barracks";194
"Building";"Barracks";NA;195
"Building";"Barracks";NA;195
"Building";"Barracks";NA;195
"Building";"Refinery";NA;195
"Building";"Refinery";NA;195
"Building";"Factory";NA;195
"Unit";"Marine";"Barracks";196
"Unit";"Marine";"Barracks";197
"Unit";"Marine";"Barracks";198
"Unit";"Marine";"Barracks";199
"Unit";"Marine";"Barracks";201
"Unit";"Marine";"Barracks";202
"Unit";"Marine";"Barracks";203
"Unit";"Marine";"Barracks";204
"Unit";"Marine";"Barracks";206
"Unit";"Marine";"Barracks";207
"Unit";"Marine";"Barracks";208
"Unit";"Marine";"Barracks";209
"Building";"Barracks";NA;211
"Unit";"Marine";"Barracks";212
"Unit";"Marine";"Barracks";213
"Unit";"Marine";"Barracks";214
"Unit";"Marine";"Barracks";215
"Building";"CommandCenter";NA;216
"Building";"EngineeringBay";NA;217
"Building";"EngineeringBay";NA;217
"Building";"Armory";NA;217
"Unit";"Marine";"Barracks";217
"Unit";"Marine";"Barracks";219
"Unit";"Marine";"Barracks";220
"Unit";"Marine";"Barracks";221
"Unit";"Marine";"Barracks";222
"Unit";"Marine";"Barracks";223
"Unit";"Marine";"Barracks";224
"Unit";"Marine";"Barracks";225
"Unit";"Marine";"Barracks";226
"Unit";"Marine";"Barracks";227
"Unit";"Marine";"Barracks";228
"Unit";"Marine";"Barracks";229
"Upgrade";"SprayTerran";NA;230
"Upgrade";"SprayTerran";NA;230
"Upgrade";"SprayTerran";NA;230
"Upgrade";"SprayTerran";NA;230
"Upgrade";"ShieldWall";NA;230
"Upgrade";"PunisherGrenades";NA;230
"Upgrade";"TerranInfantryArmorsLevel1";NA;230
"Upgrade";"SprayTerran";NA;230
"Upgrade";"SprayTerran";NA;230
"Upgrade";"SprayTerran";NA;230
"Upgrade";"SprayTerran";NA;230
"Upgrade";"SprayTerran";NA;230
"Upgrade";"SprayTerran";NA;230
